id,tested_positive
0,20.534939
1,2.9917426
2,3.1190715
3,11.622974
4,3.2622328
5,28.605333
6,26.23268
7,6.9690433
8,11.581741
9,9.688221
10,18.004694
11,20.514204
12,22.48407
13,13.48172
14,20.832663
15,19.429888
16,29.126356
17,8.22431
18,22.5745
19,3.616697
20,5.535267
21,24.360182
22,18.856586
23,13.948212
24,12.332405
25,28.206598
26,25.949835
27,27.834032
28,7.055172
29,19.582497
30,11.005278
31,7.298725
32,27.269144
33,12.101049
34,22.483458
35,30.81349
36,13.053907
37,7.6314282
38,15.555016
39,8.924219
40,15.127495
41,5.199141
42,7.9524455
43,17.368156
44,6.882143
45,16.49591
46,14.996277
47,3.7350955
48,6.782101
49,16.016481
50,16.577682
51,13.607977
52,13.480991
53,7.5825562
54,13.513971
55,30.053394
56,10.175997
57,16.228855
58,33.400955
59,11.089281
60,20.572918
61,22.089525
62,25.952763
63,23.086878
64,18.560163
65,4.6407895
66,13.58828
67,23.639557
68,32.78245
69,17.361614
70,19.789946
71,16.381641
72,12.729801
73,25.830992
74,13.168674
75,3.253915
76,18.47226
77,13.453505
78,8.51265
79,6.338379
80,18.130278
81,11.037851
82,11.485931
83,15.575483
84,9.517582
85,17.902481
86,23.840303
87,11.513666
88,6.601297
89,17.393246
90,28.069225
91,35.39646
92,17.699512
93,6.0002823
94,11.746027
95,11.816898
96,11.5988865
97,22.771557
98,11.917824
99,12.714315
100,5.758666
101,7.066572
102,15.677725
103,12.842798
104,3.4468617
105,32.08331
106,29.098604
107,11.63583
108,20.498556
109,9.615517
110,14.301504
111,6.9174466
112,20.679338
113,24.676731
114,16.030745
115,10.559166
116,9.813459
117,29.406433
118,19.841475
119,12.426559
120,12.134827
121,23.642035
122,9.001356
123,19.941872
124,32.6442
125,11.6968975
126,11.65048
127,6.106104
128,3.9181728
129,11.333788
130,17.852943
131,13.687265
132,13.508135
133,15.536173
134,23.513945
135,19.224546
136,23.053535
137,5.3023877
138,16.514225
139,32.993652
140,25.418331
141,17.9436
142,26.100655
143,27.000143
144,12.468933
145,35.419083
146,4.5833473
147,12.870352
148,19.84429
149,15.841263
150,21.369844
151,8.158199
152,21.140127
153,4.7180057
154,33.71832
155,17.246147
156,16.81704
157,27.064259
158,17.563742
159,18.26156
160,18.386997
161,23.821644
162,13.620747
163,15.510139
164,16.925064
165,24.579855
166,28.018702
167,16.74388
168,28.878725
169,17.104212
170,12.474848
171,12.6243725
172,25.344667
173,39.73006
174,22.030424
175,5.4968934
176,7.256948
177,33.043747
178,28.940615
179,24.657528
180,16.21898
181,24.374475
182,26.600222
183,10.06889
184,19.876543
185,10.382038
186,19.6145
187,5.326426
188,13.157648
189,26.256758
190,4.510099
191,23.94845
192,26.021666
193,7.3570743
194,12.69812
195,30.405493
196,7.802009
197,27.329123
198,12.198029
199,19.094702
200,24.28755
201,17.015726
202,23.495646
203,12.89661
204,26.742945
205,21.433077
206,14.72583
207,29.055447
208,16.851122
209,8.183445
210,9.585537
211,16.822014
212,31.343409
213,5.3460426
214,11.506767
215,13.831724
216,7.1292934
217,14.566593
